allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)
g01245_00005	g01245	ygfZ	tRNA-modifying protein YgfZ	90	9	30	1	1	1	0	0	0	0	30	tRNA-modifying protein YgfZ(30)	ygfZ(30)	978	990	989.60
g04300_00004	g04300	NA	hypothetical protein	90	2	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	783	783	783.00
g03449_00005	g03449	NA	hypothetical protein	90	3	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	351	351	351.00
g03449_00006	g03449	NA	hypothetical protein	90	3	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	351	351	351.00
g04015_00006	g04015	NA	hypothetical protein	90	2	8	1	1	1	0	0	0	0	8	hypothetical protein(8)	NA(8)	126	126	126.00
g04015_00007	g04015	NA	hypothetical protein	90	2	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	126	126	126.00
g00117_00004	g00117	rplS	50S ribosomal protein L19	90	1	379	1	1	1	0	0	0	0	379	50S ribosomal protein L19(379)	rplS(379)	366	366	366.00
g00060_00004	g00060	sauU	putative sulfoacetate transporter SauU	90	1	379	1	1	1	0	0	0	0	379	putative sulfoacetate transporter SauU(377):hypothetical protein(2)	sauU(377):NA(2)	213	1299	1292.88
g02656_00004	g02656	NA	hypothetical protein	90	4	179	1	1	1	0	0	0	0	179	hypothetical protein(179)	NA(179)	948	960	948.07
g02533_00004	g02533	NA	hypothetical protein	90	5	377	1	1	1	0	0	0	0	377	hypothetical protein(377)	NA(377)	444	444	444.00
g05606_00004	g05606	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	132	132	132.00
g04801_00004	g04801	nhaA	Na(+)/H(+) antiporter NhaA	90	1	1	1	1	1	0	0	0	0	1	Na(+)/H(+) antiporter NhaA(1)	nhaA(1)	1371	1371	1371.00
g04886_00004	g04886	NA	hypothetical protein	90	1	29	1	1	1	0	0	0	0	29	hypothetical protein(29)	NA(29)	1089	1089	1089.00
g03152_00004	g03152	entS	Enterobactin exporter EntS	90	3	377	1	1	1	0	0	0	0	377	Enterobactin exporter EntS(377)	entS(377)	750	1347	1214.12
g05188_00004	g05188	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	222	225	223.00
g04034_00004	g04034	NA	hypothetical protein	90	2	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	378	483	456.75
g06268_00004	g06268	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	567	567	567.00
g00823_00004	g00823	NA	hypothetical protein	90	11	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	894	957	951.55
g02543_00004	g02543	NA	hypothetical protein	90	5	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	414	414	414.00
g01505_00004	g01505	prmC	Release factor glutamine methyltransferase	90	7	378	1	1	1	0	0	0	0	378	Release factor glutamine methyltransferase(378)	prmC(378)	819	864	863.88
g05880_00004	g05880	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	372	372	372.00
g04170_00004	g04170	fis	DNA-binding protein Fis	90	2	379	1	1	1	0	0	0	0	379	DNA-binding protein Fis(379)	fis(379)	288	288	288.00
g03726_00004	g03726	NA	hypothetical protein	90	2	22	1	1	1	0	0	0	0	22	hypothetical protein(22)	NA(22)	321	2139	2003.32
g04828_00004	g04828	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1314	1314	1314.00
g04948_00004	g04948	thiK	Thiamine kinase	90	1	1	1	1	1	0	0	0	0	1	Thiamine kinase(1)	thiK(1)	1014	1014	1014.00
g02983_00004	g02983	bshB1	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1	90	4	7	1	1	1	0	0	0	0	7	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1(7)	bshB1(7)	657	657	657.00
g04804_00004	g04804	NA	hypothetical protein	90	1	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	1365	1365	1365.00
g04174_00004	g04174	NA	hypothetical protein	90	2	8	1	1	1	0	0	0	0	8	hypothetical protein(8)	NA(8)	282	282	282.00
g04457_00004	g04457	ubiG	Ubiquinone biosynthesis O-methyltransferase	90	1	111	1	1	1	0	0	0	0	111	Ubiquinone biosynthesis O-methyltransferase(74):hypothetical protein(37)	ubiG(74):NA(37)	807	921	919.97
g06330_00004	g06330	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	528	528	528.00
g03901_00005	g03901	NA	hypothetical protein	90	2	30	1	1	1	0	0	0	0	30	hypothetical protein(30)	NA(30)	237	237	237.00
g03901_00006	g03901	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	222	222	222.00
g04344_00004	g04344	recF	DNA replication and repair protein RecF	90	1	10	1	1	1	0	0	0	0	10	DNA replication and repair protein RecF(9):hypothetical protein(1)	recF(9):NA(1)	1668	1752	1743.60
g06300_00004	g06300	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	549	549	549.00
g03954_00004	g03954	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	195	195	195.00
g02341_00005	g02341	NA	hypothetical protein	90	5	20	1	1	1	0	0	0	0	20	hypothetical protein(20)	NA(20)	852	852	852.00
g02341_00006	g02341	NA	hypothetical protein	90	5	15	1	1	1	0	0	0	0	15	hypothetical protein(15)	NA(15)	852	852	852.00
g06214_00004	g06214	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	612	612	612.00
g03766_00005	g03766	chuR	Anaerobic sulfatase-maturating enzyme	90	2	7	1	1	1	0	0	0	0	7	Anaerobic sulfatase-maturating enzyme(7)	chuR(6):atsB(1)	1476	1476	1476.00
g03766_00006	g03766	chuR	Anaerobic sulfatase-maturating enzyme	90	2	2	1	1	1	0	0	0	0	2	Anaerobic sulfatase-maturating enzyme(2)	chuR(2)	1470	1470	1470.00
g06146_00004	g06146	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	672	672	672.00
g03841_00005	g03841	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	1017	1017	1017.00
g03841_00006	g03841	NA	hypothetical protein	90	2	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	1017	1017	1017.00
g05059_00004	g05059	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	255	255	255.00
g04074_00004	g04074	NA	hypothetical protein	90	2	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	432	432	432.00
g02629_00004	g02629	mfd	Transcription-repair-coupling factor	90	1	5	1	1	1	0	0	0	0	5	Transcription-repair-coupling factor(5)	mfd(5)	510	1710	1146.00
g05085_00004	g05085	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	249	249	249.00
g03059_00004	g03059	NA	hypothetical protein	90	3	35	1	1	1	0	0	0	0	35	hypothetical protein(35)	NA(35)	1533	1533	1533.00
g04781_00004	g04781	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1425	1425	1425.00
g03616_00004	g03616	NA	hypothetical protein	90	2	46	1	1	1	0	0	0	0	46	hypothetical protein(46)	NA(46)	945	945	945.00
g05896_00004	g05896	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	366	366	366.00
g03849_00006	g03849	xerD	Tyrosine recombinase XerD	90	2	1	1	1	1	0	0	0	0	1	Tyrosine recombinase XerD(1)	xerD(1)	999	999	999.00
g03849_00007	g03849	xerD	Tyrosine recombinase XerD	90	2	1	1	1	1	0	0	0	0	1	Tyrosine recombinase XerD(1)	xerD(1)	993	993	993.00
g03960_00004	g03960	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	189	189	189.00
g06207_00004	g06207	carB	Carbamoyl-phosphate synthase large chain	90	1	1	1	1	1	0	0	0	0	1	Carbamoyl-phosphate synthase large chain(1)	carB(1)	615	615	615.00
g05024_00004	g05024	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	264	264	264.00
g02817_00004	g02817	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	90	4	379	1	1	1	0	0	0	0	379	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ(379)	fabZ(379)	255	453	452.09
g04584_00004	g04584	dosP	Oxygen sensor protein DosP	90	1	1	1	1	1	0	0	0	0	1	Oxygen sensor protein DosP(1)	dosP(1)	1236	1236	1236.00
g03135_00004	g03135	NA	hypothetical protein	90	3	11	1	1	1	0	0	0	0	11	hypothetical protein(11)	NA(11)	1272	1278	1275.27
g00792_00004	g00792	NA	hypothetical protein	90	13	227	1	1	1	0	0	0	0	227	hypothetical protein(227)	NA(227)	462	639	629.27
g00792_00005	g00792	NA	hypothetical protein	90	13	146	1	1	1	0	0	0	0	146	hypothetical protein(146)	NA(146)	576	735	704.36
g04719_00004	g04719	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	3036	3036	3036.00
g03423_00004	g03423	NA	hypothetical protein	90	3	248	1	1	1	0	0	0	0	248	hypothetical protein(248)	NA(248)	420	420	420.00
g03754_00007	g03754	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	2934	2934	2934.00
g03754_00008	g03754	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	219	219	219.00
g01145_00005	g01145	noc	Nucleoid occlusion protein	90	10	37	1	1	1	0	0	0	0	37	Nucleoid occlusion protein(37)	noc(37)	1008	1011	1008.08
g01145_00006	g01145	spo0C	Chromosome-partitioning protein Spo0J	90	10	9	1	1	1	0	0	0	0	9	Chromosome-partitioning protein Spo0J(9)	spo0C(9)	1008	1008	1008.00
g03987_00005	g03987	NA	hypothetical protein	90	2	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	168	168	168.00
g03987_00006	g03987	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	168	168	168.00
g03250_00004	g03250	vioD	Capreomycidine synthase	90	3	36	1	1	1	0	0	0	0	36	Capreomycidine synthase(36)	vioD(36)	1077	1089	1088.67
g06151_00004	g06151	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	669	669	669.00
g04699_00004	g04699	rep	ATP-dependent DNA helicase Rep	90	1	2	1	1	1	0	0	0	0	2	ATP-dependent DNA helicase Rep(2)	rep(2)	1890	1890	1890.00
g03966_00005	g03966	NA	hypothetical protein	90	2	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	180	180	180.00
g03966_00006	g03966	hin	DNA-invertase hin	90	2	1	1	1	1	0	0	0	0	1	DNA-invertase hin(1)	hin(1)	564	564	564.00
g01183_00004	g01183	pncC	Nicotinamide-nucleotide amidohydrolase PncC	90	9	378	1	1	1	0	0	0	0	378	Nicotinamide-nucleotide amidohydrolase PncC(378)	pncC(378)	312	495	494.52
g00074_00004	g00074	rimK	Ribosomal protein S6--L-glutamate ligase	90	1	379	1	1	1	0	0	0	0	379	Ribosomal protein S6--L-glutamate ligase(379)	rimK(379)	1455	1455	1455.00
g03355_00004	g03355	NA	hypothetical protein	90	3	100	1	1	1	0	0	0	0	100	hypothetical protein(100)	NA(100)	174	174	174.00
g03860_00006	g03860	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	273	273	273.00
g03860_00007	g03860	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	375	375	375.00
g05217_00004	g05217	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	219	219	219.00
g05000_00004	g05000	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	273	273	273.00
g03165_00004	g03165	NA	hypothetical protein	90	3	14	1	1	1	0	0	0	0	14	hypothetical protein(14)	NA(14)	1017	1167	1156.29
g01421_00004	g01421	dapF	Diaminopimelate epimerase	90	9	379	1	1	1	0	0	0	0	379	Diaminopimelate epimerase(379)	dapF(379)	834	834	834.00
g06389_00004	g06389	dmlR	HTH-type transcriptional regulator DmlR	90	1	1	1	1	1	0	0	0	0	1	HTH-type transcriptional regulator DmlR(1)	dmlR(1)	816	816	816.00
g03067_00004	g03067	NA	hypothetical protein	90	3	10	1	1	1	0	0	0	0	10	hypothetical protein(10)	NA(10)	240	972	685.50
g04529_00004	g04529	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	849	849	849.00
g00072_00004	g00072	rpsI	30S ribosomal protein S9	90	1	379	1	1	1	0	0	0	0	379	30S ribosomal protein S9(379)	rpsI(379)	432	432	432.00
g03632_00004	g03632	NA	hypothetical protein	90	2	19	1	1	1	0	0	0	0	19	hypothetical protein(19)	NA(19)	912	912	912.00
g04148_00004	g04148	zapA	Cell division protein ZapA	90	2	379	1	1	1	0	0	0	0	379	Cell division protein ZapA(377):hypothetical protein(2)	zapA(377):NA(2)	240	315	314.60
g04128_00004	g04128	rplV	50S ribosomal protein L22	90	2	379	1	1	1	0	0	0	0	379	50S ribosomal protein L22(379)	rplV(379)	306	336	335.92
g05235_00004	g05235	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	216	216	216.00
g05682_00004	g05682	NA	hypothetical protein	90	1	10	1	1	1	0	0	0	0	10	hypothetical protein(10)	NA(10)	483	483	483.00
g01041_00004	g01041	NA	hypothetical protein	90	11	347	1	1	1	0	0	0	0	347	hypothetical protein(347)	NA(347)	363	363	363.00
g01041_00005	g01041	NA	hypothetical protein	90	11	30	1	1	1	0	0	0	0	30	hypothetical protein(30)	NA(30)	363	363	363.00
g02932_00004	g02932	secE	Protein translocase subunit SecE	90	3	358	1	1	1	0	0	0	0	358	Protein translocase subunit SecE(358)	secE(358)	330	372	350.99
g02549_00004	g02549	NA	hypothetical protein	90	5	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	393	393	393.00
g04775_00004	g04775	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1446	1446	1446.00
g00108_00004	g00108	NA	hypothetical protein	90	1	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	399	399	399.00
g05654_00004	g05654	NA	hypothetical protein	90	1	9	1	1	1	0	0	0	0	9	hypothetical protein(9)	NA(9)	504	504	504.00
g04875_00004	g04875	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1098	1098	1098.00
g05851_00004	g05851	NA	hypothetical protein	90	1	10	1	1	1	0	0	0	0	10	hypothetical protein(10)	NA(10)	378	384	383.40
g06147_00004	g06147	scnC	Thiocyanate hydrolase subunit gamma	90	1	118	1	1	1	0	0	0	0	118	Thiocyanate hydrolase subunit gamma(118)	scnC(118)	669	669	669.00
g00587_00004	g00587	NA	hypothetical protein	90	15	378	1	1	1	0	0	0	0	378	hypothetical protein(378)	NA(378)	534	678	662.83
g00106_00004	g00106	ldh	Leucine dehydrogenase	90	1	379	1	1	1	0	0	0	0	379	Leucine dehydrogenase(379)	ldh(379)	711	1074	1073.04
g02442_00005	g02442	NA	hypothetical protein	90	4	41	1	1	1	0	0	0	0	41	hypothetical protein(41)	NA(41)	549	1053	1039.17
g02442_00006	g02442	NA	hypothetical protein	90	4	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1047	1047	1047.00
g02235_00004	g02235	aat	Leucyl/phenylalanyl-tRNA--protein transferase	90	6	379	1	1	1	0	0	0	0	379	Leucyl/phenylalanyl-tRNA--protein transferase(379)	aat(379)	339	717	668.84
g05448_00004	g05448	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	165	165	165.00
g05598_00004	g05598	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	135	135	135.00
g05739_00004	g05739	NA	hypothetical protein	90	1	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	450	450	450.00
g04940_00004	g04940	wbgU	UDP-N-acetylglucosamine 4-epimerase	90	1	6	1	1	1	0	0	0	0	6	UDP-N-acetylglucosamine 4-epimerase(6)	wbgU(6)	1023	1023	1023.00
g03153_00004	g03153	NA	hypothetical protein	90	3	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1212	1212	1212.00
g03153_00005	g03153	NA	hypothetical protein	90	3	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	1209	1209	1209.00
g03153_00006	g03153	NA	hypothetical protein	90	3	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	1209	1209	1209.00
g03019_00004	g03019	ubiE	hypothetical protein	90	4	34	1	1	1	0	0	0	0	34	hypothetical protein(29):Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE(5)	NA(29):ubiE(5)	747	747	747.00
g02217_00004	g02217	NA	hypothetical protein	90	6	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	321	354	353.91
g00498_00004	g00498	NA	hypothetical protein	90	12	346	1	1	1	0	0	0	0	346	hypothetical protein(346)	NA(346)	330	504	472.44
g00498_00005	g00498	NA	hypothetical protein	90	12	30	1	1	1	0	0	0	0	30	hypothetical protein(30)	NA(30)	507	513	512.60
g00498_00006	g00498	NA	hypothetical protein	90	12	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	492	492	492.00
g02603_00004	g02603	epmC	Elongation factor P hydroxylase	90	5	379	1	1	1	0	0	0	0	379	Elongation factor P hydroxylase(379)	epmC(379)	372	534	532.72
g02199_00004	g02199	NA	hypothetical protein	90	6	35	1	1	1	0	0	0	0	35	hypothetical protein(35)	NA(35)	420	750	724.29
g02199_00005	g02199	NA	hypothetical protein	90	6	29	1	1	1	0	0	0	0	29	hypothetical protein(29)	NA(29)	546	744	737.17
g02199_00006	g02199	NA	hypothetical protein	90	6	9	1	1	1	0	0	0	0	9	hypothetical protein(9)	NA(9)	696	696	696.00
g04519_00004	g04519	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	855	855	855.00
g04093_00004	g04093	NA	hypothetical protein	90	2	26	1	1	1	0	0	0	0	26	hypothetical protein(26)	NA(26)	354	396	383.88
g00100_00004	g00100	argD	Acetylornithine aminotransferase	90	1	379	1	1	1	0	0	0	0	379	Acetylornithine aminotransferase(379)	argD(379)	639	1170	1166.24
g05897_00004	g05897	trxC	Putative thioredoxin 2	90	1	378	1	1	1	0	0	0	0	378	Putative thioredoxin 2(378)	trxC(378)	363	363	363.00
g03667_00004	g03667	NA	hypothetical protein	90	2	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	1302	1302	1302.00
g06197_00004	g06197	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	630	630	630.00
g02516_00004	g02516	ycgJ	putative methyltransferase YcgJ	90	3	339	1	1	1	0	0	0	0	339	putative methyltransferase YcgJ(333):27-O-demethylrifamycin SV methyltransferase(5):Demethylmenaquinone methyltransferase(1)	ycgJ(333):NA(5):menG(1)	402	624	620.37
g02516_00005	g02516	NA	27-O-demethylrifamycin SV methyltransferase	90	3	1	1	1	1	0	0	0	0	1	27-O-demethylrifamycin SV methyltransferase(1)	NA(1)	420	420	420.00
g03695_00004	g03695	NA	hypothetical protein	90	1	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	1056	1215	1175.25
g04782_00004	g04782	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1425	1425	1425.00
g03998_00005	g03998	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	156	156	156.00
g03998_00006	g03998	NA	hypothetical protein	90	2	15	1	1	1	0	0	0	0	15	hypothetical protein(15)	NA(15)	141	141	141.00
g04316_00004	g04316	NA	hypothetical protein	90	1	7	1	1	1	0	0	0	0	7	hypothetical protein(7)	NA(7)	711	747	740.57
g05365_00004	g05365	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	183	183	183.00
g06310_00004	g06310	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	543	543	543.00
g05917_00004	g05917	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	354	354	354.00
g02997_00004	g02997	NA	hypothetical protein	90	4	95	1	1	1	0	0	0	0	95	hypothetical protein(95)	NA(95)	609	609	609.00
g06494_00004	g06494	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	741	741	741.00
g04322_00004	g04322	NA	hypothetical protein	90	2	378	1	1	1	0	0	0	0	378	hypothetical protein(378)	NA(378)	732	732	732.00
g03657_00004	g03657	bla	Beta-lactamase TEM-12	90	1	4	1	1	1	0	0	0	0	4	Beta-lactamase TEM-12(2):Beta-lactamase TEM(2)	bla(2):NA(2)	234	861	547.50
g05306_00004	g05306	NA	hypothetical protein	90	1	8	1	1	1	0	0	0	0	8	hypothetical protein(8)	NA(8)	195	195	195.00
g05165_00004	g05165	NA	hypothetical protein	90	1	22	1	1	1	0	0	0	0	22	hypothetical protein(22)	NA(22)	228	228	228.00
g06495_00004	g06495	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	741	741	741.00
g06511_00004	g06511	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	723	723	723.00
g06376_00004	g06376	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	831	831	831.00
g04762_00004	g04762	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1491	1491	1491.00
g02254_00004	g02254	NA	hypothetical protein	90	6	377	1	1	1	0	0	0	0	377	hypothetical protein(377)	NA(377)	771	828	771.15
g02924_00004	g02924	NA	hypothetical protein	90	4	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	390	390	390.00
g00728_00004	g00728	NA	hypothetical protein	90	13	31	1	1	1	0	0	0	0	31	hypothetical protein(31)	NA(31)	225	801	711.58
g00728_00005	g00728	NA	hypothetical protein	90	13	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	636	852	744.00
g00557_00004	g00557	NA	hypothetical protein	90	4	268	1	1	1	0	0	0	0	268	hypothetical protein(268)	NA(268)	189	324	265.41
g02563_00004	g02563	NA	hypothetical protein	90	5	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	327	327	327.00
g03598_00004	g03598	NA	hypothetical protein	90	2	18	1	1	1	0	0	0	0	18	hypothetical protein(18)	NA(18)	984	1518	1469.67
g03370_00004	g03370	NA	hypothetical protein	90	3	116	1	1	1	0	0	0	0	116	hypothetical protein(116)	NA(116)	138	138	138.00
g01349_00010	g01349	NA	hypothetical protein	90	9	8	1	1	1	0	0	0	0	8	hypothetical protein(8)	NA(8)	243	243	243.00
g01349_00011	g01349	NA	hypothetical protein	90	9	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	204	204	204.00
g01349_00012	g01349	NA	hypothetical protein	90	9	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	243	243	243.00
g01349_00013	g01349	NA	hypothetical protein	90	9	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	243	243	243.00
g01349_00014	g01349	NA	hypothetical protein	90	9	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	243	243	243.00
g01349_00015	g01349	NA	hypothetical protein	90	9	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	207	207	207.00
g00976_00004	g00976	sufD	FeS cluster assembly protein SufD	90	8	379	1	1	1	0	0	0	0	379	FeS cluster assembly protein SufD(379)	sufD(379)	1107	1287	1285.49
g04559_00004	g04559	NA	hypothetical protein	90	1	18	1	1	1	0	0	0	0	18	hypothetical protein(18)	NA(18)	357	1266	1215.50
g02639_00004	g02639	NA	hypothetical protein	90	4	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	255	1530	1521.22
g04939_00004	g04939	NA	hypothetical protein	90	1	113	1	1	1	0	0	0	0	113	hypothetical protein(113)	NA(113)	1023	1023	1023.00
g04841_00004	g04841	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	1140	1140	1140.00
g04884_00004	g04884	NA	hypothetical protein	90	1	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	1092	1092	1092.00
g05797_00004	g05797	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	414	414	414.00
g06320_00004	g06320	NA	hypothetical protein	90	1	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	534	534	534.00
g03623_00004	g03623	NA	hypothetical protein	90	2	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	936	936	936.00
g06408_00004	g06408	NA	hypothetical protein	90	1	47	1	1	1	0	0	0	0	47	hypothetical protein(47)	NA(47)	798	798	798.00
g01046_00004	g01046	NA	hypothetical protein	90	9	378	1	1	1	0	0	0	0	378	hypothetical protein(378)	NA(378)	612	753	751.34
g03447_00006	g03447	NA	hypothetical protein	90	3	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	354	354	354.00
g03447_00007	g03447	NA	hypothetical protein	90	3	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	351	351	351.00
g03447_00008	g03447	NA	hypothetical protein	90	3	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	339	339	339.00
g03698_00004	g03698	trpB	Tryptophan synthase beta chain	90	2	379	1	1	1	0	0	0	0	379	Tryptophan synthase beta chain(379)	trpB(379)	1200	1200	1200.00
g02902_00004	g02902	NA	hypothetical protein	90	4	34	1	1	1	0	0	0	0	34	hypothetical protein(34)	NA(34)	432	432	432.00
g05858_00004	g05858	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	381	381	381.00
g05342_00004	g05342	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	189	189	189.00
g05967_00004	g05967	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	330	330	330.00
g05219_00004	g05219	NA	hypothetical protein	90	1	108	1	1	1	0	0	0	0	108	hypothetical protein(108)	NA(108)	216	216	216.00
g02944_00004	g02944	NA	hypothetical protein	90	4	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	294	294	294.00
